TrainFraction,TrainPct,TestPct,TrainCount,ValCount,TestCount,Accuracy,Precision,Recall,F1
0.1,10,90,80,9,804,0.8507462686567164,0.8934984000520642,0.7991463656169538,0.7992937764008005
0.2,20,80,160,18,715,0.8993006993006993,0.9015015934739491,0.9090508522101385,0.893196542758766
0.3,30,70,240,27,626,0.9696485623003195,0.9714150507547682,0.9611662846956964,0.9653661670508215
0.4,40,60,321,36,536,0.9720149253731343,0.9710036245469317,0.9665775401069517,0.9684292500972281
0.5,50,50,401,45,447,0.9821029082774049,0.9819918522412827,0.9778966131907308,0.9797879791846609
0.6,60,40,481,54,358,0.9748603351955307,0.9771054309395467,0.9672459893048129,0.9713566726611438
0.7,70,30,562,63,268,0.9776119402985075,0.973719484791214,0.9765656565656565,0.9749883737188761
0.8,80,19,642,72,179,0.9888268156424581,0.9855072463768115,0.990049751243781,0.9875420875420876
0.9,90,9,722,81,90,0.9888888888888889,0.9855072463768115,0.9901960784313726,0.987617468214483
